vo2max,gender,age,age_low,age_high
42.31,0.0,14.0,10.0,19.0
45.29,0.0,17.0,10.0,19.0
54.76,1.0,45.0,40.0,49.0
27.25,0.0,17.0,10.0,19.0
36.46,1.0,16.0,10.0,19.0
47.17,0.0,36.0,30.0,39.0
26.12,0.0,32.0,30.0,39.0
47.0,1.0,16.0,10.0,19.0
40.95,1.0,49.0,40.0,49.0
38.15,0.0,22.0,20.0,29.0
36.5,0.0,12.0,10.0,19.0
28.15,0.0,43.0,40.0,49.0
45.66,0.0,13.0,10.0,19.0
48.95,0.0,12.0,10.0,19.0
31.15,0.0,16.0,10.0,19.0
41.06,0.0,33.0,30.0,39.0
43.1,1.0,13.0,10.0,19.0
62.63,1.0,19.0,10.0,19.0
34.17,0.0,48.0,40.0,49.0
44.48,1.0,12.0,10.0,19.0
41.58,0.0,23.0,20.0,29.0
33.63,0.0,17.0,10.0,19.0
52.48,0.0,15.0,10.0,19.0
45.24,1.0,38.0,30.0,39.0
40.11,0.0,14.0,10.0,19.0
34.27,0.0,14.0,10.0,19.0
38.26,1.0,28.0,20.0,29.0
29.1,0.0,28.0,20.0,29.0
35.29,1.0,42.0,40.0,49.0
32.86,0.0,16.0,10.0,19.0
70.55,1.0,17.0,10.0,19.0
45.57,1.0,17.0,10.0,19.0
33.69,0.0,17.0,10.0,19.0
26.53,1.0,46.0,40.0,49.0
36.27,0.0,15.0,10.0,19.0
45.6,0.0,13.0,10.0,19.0
53.63,1.0,20.0,20.0,29.0
31.97,1.0,16.0,10.0,19.0
54.6,1.0,16.0,10.0,19.0
41.88,1.0,13.0,10.0,19.0
47.25,1.0,12.0,10.0,19.0
45.37,1.0,13.0,10.0,19.0
33.32,0.0,14.0,10.0,19.0
61.42,1.0,17.0,10.0,19.0
42.22,0.0,13.0,10.0,19.0
28.52,0.0,33.0,30.0,39.0
36.92,1.0,16.0,10.0,19.0
40.93,0.0,33.0,30.0,39.0
21.42,0.0,44.0,40.0,49.0
49.91,1.0,15.0,10.0,19.0
50.33,0.0,12.0,10.0,19.0
49.38,1.0,17.0,10.0,19.0
30.35,0.0,38.0,30.0,39.0
36.27,0.0,36.0,30.0,39.0
32.94,1.0,12.0,10.0,19.0
52.53,1.0,15.0,10.0,19.0
34.4,0.0,47.0,40.0,49.0
40.34,0.0,17.0,10.0,19.0
22.93,0.0,42.0,40.0,49.0
53.68,1.0,18.0,10.0,19.0
41.81,1.0,14.0,10.0,19.0
42.67,1.0,14.0,10.0,19.0
45.35,1.0,14.0,10.0,19.0
49.4,0.0,24.0,20.0,29.0
27.4,0.0,31.0,30.0,39.0
33.29,0.0,19.0,10.0,19.0
43.82,1.0,19.0,10.0,19.0
36.23,0.0,14.0,10.0,19.0
41.89,1.0,12.0,10.0,19.0
42.71,0.0,24.0,20.0,29.0
41.78,1.0,46.0,40.0,49.0
39.07,0.0,12.0,10.0,19.0
29.6,0.0,24.0,20.0,29.0
49.06,1.0,23.0,20.0,29.0
46.1,0.0,34.0,30.0,39.0
28.28,0.0,19.0,10.0,19.0
36.68,0.0,18.0,10.0,19.0
45.73,0.0,13.0,10.0,19.0
37.7,0.0,22.0,20.0,29.0
39.5,1.0,29.0,20.0,29.0
35.11,0.0,36.0,30.0,39.0
30.07,0.0,14.0,10.0,19.0
36.06,0.0,32.0,30.0,39.0
46.15,1.0,12.0,10.0,19.0
32.36,0.0,22.0,20.0,29.0
40.4,1.0,13.0,10.0,19.0
42.2,1.0,45.0,40.0,49.0
36.8,1.0,33.0,30.0,39.0
32.78,0.0,31.0,30.0,39.0
52.02,1.0,15.0,10.0,19.0
40.7,1.0,12.0,10.0,19.0
35.25,1.0,24.0,20.0,29.0
